timestamp,question,feedback,confidence,status
2026-06-11 00:51:05,Wat is DEAI?,Ja,70,answered
2026-06-11 00:55:25,Wat houdt PD3 in?,Gedeeltelijk,70,answered
2026-06-11 00:55:53,Wat houdt PD3 in?,Ja,70,answered
